crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,black,lstat,medv
0,0,6,0,1,7,80,3,8,307,17,372,6,32
0,0,6,0,1,8,17,3,8,307,17,378,4,47
0,0,6,0,1,7,21,3,8,307,17,380,4,32
1,0,6,0,1,6,68,4,8,307,17,378,12,24
0,0,6,0,1,7,77,4,8,307,17,376,5,32
1,0,6,0,1,8,73,4,8,307,17,386,2,42
0,0,6,0,1,8,70,4,8,307,17,379,4,48
0,0,6,1,1,7,67,4,8,307,17,360,8,29
0,0,6,0,1,6,62,4,8,307,17,377,11,24
1,0,6,1,1,7,77,4,8,307,17,388,10,25
1,0,6,0,1,7,72,4,8,307,17,390,5,32
0,30,5,0,0,6,19,6,6,300,17,379,6,24
0,30,5,0,0,7,42,6,6,300,17,384,7,23
0,30,5,0,0,7,54,6,6,300,17,391,11,22
0,30,5,0,0,6,65,6,6,300,17,395,12,20
0,30,5,0,0,6,53,7,6,300,17,373,11,22
0,30,5,0,0,6,8,7,6,300,17,375,5,24
0,22,6,0,0,6,77,8,7,330,19,372,13,18
0,22,6,0,0,6,70,8,7,330,19,389,18,19
0,22,6,0,0,6,35,8,7,330,19,390,9,24
0,22,6,0,0,6,79,8,7,330,19,376,10,21
0,22,6,0,0,6,49,8,7,330,19,375,10,25
0,22,6,0,0,7,18,8,7,330,19,394,7,26
0,22,6,0,0,6,13,7,7,330,19,396,6,24
0,22,6,0,0,6,9,7,7,330,19,377,4,25
0,22,6,0,0,7,7,9,7,330,19,386,4,30
0,22,6,0,0,8,8,9,7,330,19,397,4,43
0,80,4,0,0,6,32,9,1,315,16,393,7,22
0,80,4,0,0,6,19,9,1,315,16,395,9,21
0,90,4,0,0,7,34,6,3,244,16,386,3,44
1,20,4,0,1,9,87,2,5,264,13,390,5,50
1,20,4,0,1,7,100,2,5,264,13,383,8,36
1,20,4,0,1,7,100,2,5,264,13,392,7,30
1,20,4,0,1,7,82,2,5,264,13,393,10,34
1,20,4,0,1,8,89,2,5,264,13,388,7,43
1,20,4,0,1,8,92,2,5,264,13,387,6,49
1,20,4,0,1,7,95,2,5,264,13,393,11,31
1,20,4,0,1,7,92,2,5,264,13,388,8,37
1,20,4,0,1,6,63,2,5,264,13,392,10,23
1,20,4,0,1,7,85,2,5,264,13,384,15,31
1,20,4,0,1,8,67,2,5,264,13,385,7,50
1,20,4,0,1,7,53,3,5,264,13,390,3,44
0,20,7,1,0,6,62,4,3,223,19,391,14,21
0,20,7,0,0,6,42,4,3,223,19,389,13,21
0,20,7,0,0,6,16,4,3,223,19,397,7,25
0,20,7,0,0,7,59,4,3,223,19,395,8,24
0,20,7,1,0,8,52,4,3,223,19,391,7,35
0,40,6,1,0,7,33,4,4,254,18,397,4,32
0,40,6,0,0,7,43,4,4,254,18,397,3,32
0,40,6,1,0,7,49,5,4,254,18,389,6,33
0,40,6,1,0,7,28,5,4,254,18,393,4,33
0,40,6,0,0,6,32,4,4,254,18,397,7,29
0,20,3,0,0,7,32,4,5,216,15,397,5,35
0,20,3,0,0,8,65,5,5,216,15,387,4,45
0,20,3,0,0,7,37,5,5,216,15,392,5,35
0,20,3,1,0,8,50,5,5,216,15,377,3,46
0,90,1,1,0,8,25,6,1,198,14,396,3,50
0,90,3,0,0,7,21,7,1,285,15,395,8,32
0,55,2,0,0,6,32,7,1,300,15,395,8,22
0,80,2,0,0,6,32,9,1,241,18,342,13,20
0,53,5,0,0,6,31,7,6,293,17,397,7,23
0,53,5,0,0,6,46,7,6,293,17,397,8,22
0,53,5,0,0,7,23,7,6,293,17,372,10,25
0,80,5,0,0,7,28,5,4,245,19,397,3,29
0,80,5,0,0,7,28,5,4,245,19,397,4,37
0,80,5,0,0,7,23,5,4,245,19,397,5,28
0,0,14,0,0,6,18,6,4,289,16,397,9,24
0,0,14,0,0,6,42,6,4,289,16,397,10,22
0,0,14,0,0,7,31,6,4,289,16,397,6,29
0,0,14,0,0,7,51,6,4,289,16,393,7,27
0,0,14,0,0,6,58,6,4,289,16,397,16,20
0,70,2,0,0,6,20,8,5,358,15,368,5,23
0,70,2,0,0,7,10,8,5,358,15,372,5,29
0,70,2,0,0,7,47,8,5,358,15,391,6,25
0,34,6,0,0,7,40,5,7,329,16,396,10,22
0,34,6,0,0,6,18,5,7,329,16,384,9,26
0,34,6,0,0,7,18,5,7,329,16,390,5,33
0,33,2,0,0,7,41,4,7,222,18,394,7,36
0,33,2,0,0,7,58,3,7,222,18,393,9,28
0,33,2,0,0,7,72,3,7,222,18,397,6,33
0,33,2,0,0,7,70,3,7,222,18,397,8,28
0,0,10,0,1,7,83,3,4,304,18,397,5,23
0,0,10,0,1,6,77,3,4,304,18,396,10,20
3,0,10,0,1,5,38,3,4,304,18,350,13,16
1,0,10,0,1,6,53,3,4,304,18,397,6,22
0,0,10,0,1,6,90,3,4,304,18,396,12,19
0,0,10,0,1,6,83,3,4,304,18,393,8,22
0,0,10,0,1,7,87,4,4,304,18,396,9,24
0,0,10,0,1,6,78,4,4,304,18,396,12,16
0,0,10,0,1,6,83,4,4,304,18,391,18,18
0,0,10,0,1,6,72,4,4,304,18,397,16,20
0,0,10,0,1,6,67,4,4,304,18,395,10,23
0,0,10,0,1,6,59,4,4,304,18,396,13,21
0,0,7,0,0,6,52,5,5,287,20,397,7,24
0,0,7,0,0,6,54,5,5,287,20,397,7,23
0,0,7,0,0,6,50,5,5,287,20,397,8,20
0,0,7,0,0,6,74,5,5,287,20,391,12,19
0,0,7,0,0,6,40,5,5,287,20,397,6,25
0,0,7,0,0,6,15,5,5,287,20,394,5,25
0,0,7,0,0,6,29,5,5,287,20,397,6,23
0,0,7,0,0,6,44,5,5,287,20,397,13,22
0,0,3,0,0,6,26,5,4,430,17,382,10,19
0,0,3,0,0,6,17,5,4,430,17,375,7,23
0,0,3,0,0,6,32,6,4,430,17,369,9,20
0,35,6,0,0,6,28,7,1,304,17,394,12,17
0,35,6,0,0,6,23,7,1,304,17,362,8,19
0,0,5,0,1,6,38,6,5,224,20,390,6,22
0,0,5,0,1,6,39,6,5,224,20,389,7,21
0,0,5,0,1,6,35,6,5,224,20,397,8,21
0,0,5,0,1,6,46,5,5,224,20,397,10,20
0,0,5,0,1,6,60,6,5,224,20,395,11,19
0,0,5,0,1,6,37,5,5,224,20,396,9,21
0,0,5,0,1,6,45,5,5,224,20,397,10,19
0,0,5,0,1,6,59,5,5,224,20,397,9,19
0,35,2,0,0,7,49,7,1,284,16,395,5,33
0,0,2,0,1,7,60,6,1,422,16,390,9,17
0,55,4,0,0,7,56,6,5,370,18,397,7,24
0,55,4,0,0,7,28,6,5,370,18,388,5,31
0,0,4,0,0,6,49,8,3,352,19,386,11,18
0,0,4,0,0,6,52,8,3,352,19,365,13,17
0,85,4,0,0,7,28,9,4,351,18,392,6,23
0,80,2,0,0,7,30,8,4,280,17,391,6,25
0,40,1,0,0,7,35,9,1,335,20,390,6,27
0,40,1,0,0,6,44,9,1,335,20,397,6,23
0,60,2,0,0,7,36,11,4,411,18,371,5,24
0,60,2,0,0,6,19,11,4,411,18,392,8,19
0,90,2,0,0,7,36,12,5,187,17,384,5,30
0,80,2,0,0,6,22,11,4,334,22,383,8,18
0,80,2,0,0,6,20,11,4,334,22,376,6,21
9,0,18,1,1,6,97,2,24,666,20,378,18,18
4,0,18,1,1,6,91,3,24,666,20,391,13,22
5,0,18,1,1,6,83,3,24,666,20,395,11,23
4,0,18,0,1,6,81,3,24,666,20,391,13,23
5,0,18,0,1,6,88,3,24,666,20,375,8,25
4,0,18,0,1,6,91,2,24,666,20,351,14,20
4,0,18,0,1,5,96,2,24,666,20,381,10,21
4,0,18,1,1,6,89,2,24,666,20,353,15,17
3,0,18,1,1,9,83,2,24,666,20,355,5,22
5,0,18,0,1,4,88,2,24,666,20,355,7,28
4,0,18,0,1,5,91,2,24,666,20,316,14,22
14,0,18,0,1,4,100,2,24,666,20,131,13,23
5,0,18,0,1,5,100,1,24,666,20,376,3,50
6,0,18,1,1,7,97,1,24,666,20,375,4,50
7,0,18,1,1,7,98,1,24,666,20,392,3,50
9,0,18,0,1,6,100,1,24,666,20,366,10,50
8,0,18,1,1,6,90,1,24,666,20,348,9,50
11,0,18,0,1,5,100,1,24,666,20,397,35,14
18,0,18,0,1,4,100,1,24,666,20,397,38,14
20,0,18,0,1,7,98,1,24,666,20,397,13,15
15,0,18,0,1,7,93,1,24,666,20,363,23,14
10,0,18,0,1,7,99,1,24,666,20,397,21,13
24,0,18,0,1,6,96,1,24,666,20,397,24,13
18,0,18,0,1,6,100,1,24,666,20,394,22,10
89,0,18,0,1,7,92,1,24,666,20,397,17,10
16,0,18,0,1,7,99,2,24,666,20,397,21,11
9,0,18,0,1,6,100,2,24,666,20,397,24,11
8,0,18,0,1,6,100,2,24,666,20,397,25,12
20,0,18,0,1,4,91,1,24,666,20,286,31,9
17,0,18,0,1,5,98,1,24,666,20,397,31,7
24,0,18,0,1,5,100,1,24,666,20,397,28,11
23,0,18,0,1,5,90,2,24,666,20,397,32,7
14,0,18,0,1,5,100,2,24,666,20,373,31,10
8,0,18,0,1,5,99,2,24,666,20,397,21,12
7,0,18,0,1,6,97,2,24,666,20,394,17,15
5,0,18,0,1,6,83,2,24,666,20,378,19,23
12,0,18,0,1,5,97,2,24,666,20,397,26,10
9,0,18,0,1,6,93,2,24,666,20,397,15,14
13,0,18,0,1,6,95,2,24,666,20,397,16,13
9,0,18,0,1,6,99,2,24,666,20,392,17,13
6,0,18,0,1,6,96,2,24,666,20,397,19,13
8,0,18,0,1,6,99,2,24,666,20,393,20,9
38,0,18,0,1,5,100,1,24,666,20,397,31,5
10,0,18,0,1,6,78,2,24,666,20,338,30,6
25,0,18,0,1,6,100,2,24,666,20,397,27,6
14,0,18,0,1,6,100,2,24,666,20,397,20,7
10,0,18,0,1,6,100,2,24,666,20,376,20,12
25,0,18,0,1,5,96,2,24,666,20,397,20,8
42,0,18,0,1,6,85,2,24,666,20,329,27,9
68,0,18,0,1,6,100,1,24,666,20,385,23,5
21,0,18,0,1,4,100,1,24,666,20,370,23,12
12,0,18,0,1,6,100,1,24,666,20,332,12,28
7,0,18,0,1,6,98,1,24,666,20,315,26,17
14,0,18,0,1,7,100,1,24,666,20,179,20,28
51,0,18,0,1,6,100,1,24,666,20,3,10,15
14,0,18,0,1,7,100,2,24,666,20,35,21,17
19,0,18,0,1,5,100,2,24,666,20,29,34,18
29,0,18,0,1,5,100,2,24,666,20,211,20,16
46,0,18,0,1,5,100,2,24,666,20,88,37,7
18,0,18,0,1,6,100,2,24,666,20,27,29,7
11,0,18,0,1,7,91,2,24,666,20,22,26,8
26,0,18,0,1,5,89,2,24,666,20,127,27,10
74,0,18,0,1,6,100,2,24,666,20,16,21,9
12,0,18,0,1,7,77,2,24,666,20,48,23,8
11,0,18,0,1,6,100,2,24,666,20,319,15,17
7,0,18,0,1,6,95,2,24,666,20,320,16,14
12,0,18,0,1,6,88,2,24,666,20,292,14,21
7,0,18,0,1,6,85,2,24,666,20,3,23,13
9,0,18,0,1,6,71,2,24,666,20,4,17,12
16,0,18,0,1,6,95,2,24,666,20,8,24,8
12,0,18,0,1,6,60,2,24,666,20,25,16,10
38,0,18,0,1,6,79,2,24,666,20,19,15,11
7,0,18,0,1,6,78,2,24,666,20,97,22,11
9,0,18,0,1,6,96,2,24,666,20,61,24,10
8,0,18,0,1,6,86,2,24,666,20,83,18,15
10,0,18,0,1,7,94,2,24,666,20,81,20,14
6,0,18,0,1,6,75,2,24,666,20,98,12,16
6,0,18,0,1,6,88,2,24,666,20,100,16,14
14,0,18,0,1,6,95,2,24,666,20,101,15,12
11,0,18,0,1,7,95,2,24,666,20,110,23,13
14,0,18,0,1,6,93,2,24,666,20,27,18,10
15,0,18,0,1,6,100,2,24,666,20,9,26,9
14,0,18,0,1,6,88,2,24,666,20,69,34,8
9,0,18,0,1,6,94,2,24,666,20,397,23,13
22,0,18,0,1,6,92,2,24,666,20,391,22,11
10,0,18,0,1,6,97,2,24,666,20,386,20,17
6,0,18,0,1,6,100,2,24,666,20,396,17,18
10,0,18,0,1,6,100,2,24,666,20,387,19,15
13,0,18,0,1,6,97,2,24,666,20,241,24,11
11,0,18,0,1,6,95,2,24,666,20,43,24,12
6,0,18,0,1,6,96,2,24,666,20,318,18,15
10,0,18,0,1,6,97,2,24,666,20,389,16,13
9,0,18,0,1,6,99,2,24,666,20,397,18,14
8,0,18,0,1,6,98,2,24,666,20,304,19,13
7,0,18,0,1,7,93,2,24,666,20,0,17,13
5,0,18,0,1,7,98,2,24,666,20,355,18,15
5,0,18,0,1,6,92,2,24,666,20,385,17,16
8,0,18,0,1,7,99,2,24,666,20,376,17,18
10,0,18,0,1,7,94,2,24,666,20,7,19,15
5,0,18,0,1,7,87,2,24,666,20,51,18,14
5,0,18,0,1,6,88,3,24,666,20,10,19,13
8,0,18,0,1,6,80,3,24,666,20,4,17,14
8,0,18,0,1,6,84,3,24,666,20,272,16,15
7,0,18,0,1,6,84,3,24,666,20,397,15,20
5,0,18,0,1,7,90,3,24,666,20,255,16,16
4,0,18,0,1,6,88,3,24,666,20,391,15,18
7,0,18,0,1,6,83,3,24,666,20,397,14,20
6,0,18,0,1,7,90,3,24,666,20,394,10,20
8,0,18,0,1,6,65,3,24,666,20,397,13,21
3,0,18,0,1,6,48,3,24,666,20,334,14,20
4,0,18,0,1,6,85,3,24,666,20,22,17,19
4,0,18,0,1,6,95,3,24,666,20,331,21,19
16,0,18,0,1,6,71,3,24,666,20,369,18,19
13,0,18,0,1,6,57,3,24,666,20,397,15,20
4,0,18,0,1,6,84,3,24,666,20,397,16,20
4,0,18,0,1,6,91,3,24,666,20,395,13,20
4,0,18,0,1,6,75,3,24,666,20,393,14,23
5,0,18,0,1,7,68,3,24,666,20,375,12,30
8,0,18,0,1,5,95,2,24,666,20,353,18,14
6,0,18,0,1,6,97,2,24,666,20,303,24,13
5,0,18,0,1,6,94,2,24,666,20,396,19,17
15,0,18,0,1,5,97,2,24,666,20,349,25,12
10,0,18,0,1,6,97,2,24,666,20,380,18,15
14,0,18,0,1,6,88,2,24,666,20,383,13,21
6,0,18,0,1,6,65,3,24,666,20,397,11,23
6,0,18,0,1,7,75,3,24,666,20,393,8,24
6,0,18,0,1,7,77,3,24,666,20,395,7,25
3,0,18,0,1,6,40,4,24,666,20,393,10,22
2,0,18,0,1,6,42,4,24,666,20,371,13,21
4,0,18,0,1,6,52,4,24,666,20,389,11,21
6,0,18,0,1,6,80,4,24,666,20,393,15,19
5,0,18,0,1,6,53,3,24,666,20,388,11,21
0,0,28,0,1,5,93,2,4,711,20,395,18,15
0,0,28,0,1,5,98,2,4,711,20,344,24,7
0,0,28,0,1,5,98,2,4,711,20,318,30,8
0,0,28,0,1,6,99,2,4,711,20,390,18,14
0,0,28,0,1,6,84,2,4,711,20,397,13,20
0,0,10,0,1,6,54,2,6,391,19,397,12,22
0,0,10,0,1,6,43,2,6,391,19,397,14,25
0,0,10,0,1,6,29,3,6,391,19,393,18,23
